fp,gp,y0p,fc,gc,y0c
-2.1083029539573258e-06,1.4021474550318658e-06,0,-2.1083031153387812e-06,1.4021474550318658e-06,0.00024598992068853079
-2.1083029539573258e-06,1.8273302231364141e-06,0,-2.1083031149229727e-06,1.8273302231364141e-06,0.00010383313273167985
-0.00010725020977343441,-9.6402936193840105e-06,0,-0.00010723281367830971,-9.6402936193840105e-06,9.5233370003624542e-05
-5.3540110459422525,-1.2346338799318346e-05,0,-5.353886898147362,-1.2346338799318346e-05,0.00014133727632957706
-8.5973027302854271e-05,-1.2153962799743567e-05,0,-8.5970050081154669e-05,-1.2153962799743567e-05,-0.00010463335071771461
-3.6440853510292097,2.5996710348863417e-06,0,-3.6443743249445975,2.5996710348863417e-06,0.0001521921487188056
-0.00020887572585247559,2.2765917400136004e-06,0,-0.0002089034617270833,2.2765917400136004e-06,-0.00018170562785346751
-4.9414602061125636,-6.3931299387753882e-06,0,-4.9413768571615835,-6.3931299387753882e-06,-0.00014387809861172844
-7.1547399823790529e-05,2.3248643898909904e-06,0,-7.1548125945785919e-05,2.3248643898909904e-06,4.6249023340103352e-05
-3.0657419609923666,6.9773520756655216e-06,0,-3.0653952286999555,6.9773520756655216e-06,-0.00012795345073359469
-8.240875513859643e-05,-3.3952979450191378e-06,0,-8.2411084341747854e-05,-3.3952979450191378e-06,-6.1102459140438762e-05
-2.8420796805322923,1.9391927651213337e-05,0,-2.8423334250258967,1.9391927651213337e-05,-8.3042652382806395e-05
-0.00011572849229795057,-2.0073676658682871e-05,0,-0.00011572617184812695,-2.0073676658682871e-05,0.00027352658545514997
-3.1996896043055605,-1.9641494191091624e-06,0,-3.1997784468214654,-1.9641494191091624e-06,3.4465963665643949e-05
-9.2314446080432925e-05,8.58351057075879e-06,0,-9.2321214375848696e-05,8.58351057075879e-06,0.00010828562071825029
-4.2350583479767581,-1.1536727299699123e-05,0,-4.2355416105312313,-1.1536727299699123e-05,-0.00014914451491007707
-0.000128269112641643,1.0526876501160132e-05,0,-0.00012827064846836211,1.0526876501160132e-05,4.0893846960104877e-05
-3.6616950089701121,-8.4099028327955239e-06,0,-3.6613940354247365,-8.4099028327955239e-06,3.6734348799364138e-05
-0.00010526977843675241,-3.3515572344100519e-06,0,-0.00010525689769229334,-3.3515572344100519e-06,4.9301045422489847e-05
-3.794964156659296,3.0262007788550704e-06,0,-3.7945613716309499,3.0262007788550704e-06,-6.0018393422563957e-06
-0.00010723889642952164,-5.9138148174042726e-06,0,-0.00010722960924177591,-5.9138148174042726e-06,0.00013491124110231542
-2.5679906537510684,6.0604049281209882e-06,0,-2.5679120025257305,6.0604049281209882e-06,-8.0714982645999374e-05
-5.457480456450349e-05,-7.270180120144687e-06,0,-5.4586418824358138e-05,-7.270180120144687e-06,0.00020388687851295205
-2.6313132282990752,-1.2434616095902129e-05,0,-2.6319243354213464,-1.2434616095902129e-05,3.1229270799343611e-05
-0.00013205175093987718,1.710182615966005e-06,0,-0.00013207053269625299,1.710182615966005e-06,0.00020295473077893393
-6.2036763381457671,,,-6.2030196844396217,,
-7.6613347022118825e-05,,,-7.6617892610987771e-05,,
-3.7184954492913289,,,-3.7181703122281595,,
-5.4868500404701044e-05,,,-5.4872602536198621e-05,,
-4.6078373458479707,,,-4.608030387023172,,
-0.0001400822958076043,,,-0.00014005892682444576,,
-5.7940595479465653,,,-5.7944025162371844,,
-0.00014235601407402171,,,-0.0001423434807784716,,
-8.5771094611429053,,,-8.5770346760726426,,
-0.00012461426587150073,,,-0.00012460674486612975,,
-4.4076236654384724,,,-4.4079194312228154,,
-0.00011844726872577137,,,-0.00011844209436756792,,
-2.9446432085315735,,,-2.9447531446115791,,
-0.00020422376549439198,,,-0.00020427542125709826,,
-2.2071203350984057,,,-2.2073170338913561,,
-0.00015554752690168447,,,-0.00015555277301671199,,
-3.7823517977944547,,,-3.7823419400458071,,
-0.00036511114824793096,,,-0.00036510155047505036,,
-4.9175894168683598,,,-4.9178283527022906,,
-0.00015698955388514148,,,-0.00015702991524698087,,
-4.0877919533659899,,,-4.0878575203345031,,
-0.00017678424653101878,,,-0.00017679077714496269,,
-2.3406747962449934,,,-2.3405840284742534,,
-0.00012465093633014229,,,-0.00012465025008267396,,
-3.5850409597084938,,,-3.5847115994092356,,
