e02	ipm	run1	CONTINUE	7	259	10	1	0.5	48.8
e02	ipm	run2	CONTINUE	7	259	20	37	Inf	1.8
e02	hsd	run1	CONTINUE	7	259	10	1	0.5	57.0
e02	hsd	run2	CONTINUE	8	296	20	50	Inf	4.2
e03	ipm	run1	CONTINUE	10	370	6	0	0.5	45.2
e03	ipm	run2	CONTINUE	10	370	20	79	Inf	0.4
e01	hsd	run1	CONTINUE	17	629	8	0	0.5	58.9
e01	hsd	run2	CONTINUE	17	629	20	123	Inf	9.4
e08	ipm	run1	STALLED	21	777	10	2	0.5	47.7
e08	ipm	run2	STALLED	21	777	20	98	Inf	1.6
e08	hsd	run1	NEAR_OPTIMAL	13	481	10	0	0.5	53.5
e08	hsd	run2	NEAR_OPTIMAL	14	518	20	210	Inf	2.8
X03	ipm	run1	CONTINUE	6	222	3	0	0.5	24.9
X03	ipm	run2	CONTINUE	6	222	20	6	Inf	0.3
X08b	ipm	run1	CONTINUE	9	333	5	0	0.5	25.6
X08b	ipm	run2	CONTINUE	9	333	20	36	Inf	0.3
X08b	hsd	run1	CONTINUE	8	296	10	1	0.5	32.9
X08b	hsd	run2	CONTINUE	8	296	20	40	Inf	0.4
SOS_P8_n9_s1	hsd	run1	NEAR_OPTIMAL	17	629	8	0	0.5	58.5
SOS_P8_n9_s1	hsd	run2	CONTINUE	15	555	20	291	Inf	5.3
07	hsd	run1	NEAR_OPTIMAL	17	629	8	0	0.5	61.8
07	hsd	run2	NEAR_OPTIMAL	22	814	20	514	Inf	37.2
13	hsd	run1	CONTINUE	17	629	9	0	0.5	56.1
13	hsd	run2	CONTINUE	17	629	20	183	Inf	2.7
06	ipm	run1	CONTINUE	9	333	10	1	0.5	45.7
06	ipm	run2	CONTINUE	9	333	20	76	Inf	0.8
SOS_P4_n13_s1	hsd	run1	NEAR_OPTIMAL	16	592	10	2	0.5	58.0
SOS_P4_n13_s1	hsd	run2	CONTINUE	15	555	20	318	Inf	7.1
X06b	hsd	run1	CONTINUE	9	333	10	1	0.5	52.8
X06b	hsd	run2	CONTINUE	9	333	20	77	Inf	0.5
