e10	ipm	9	9	0.67	0.22	0.0e+00	3.5	1:ceil,3:ceil,5:ceil,6:ceil,8:ceil,9:ceil	61.8	1079
e10	hsd	11	8	0.50	1.00	0.0e+00	3.5	4:ceil	64.4	827
e11	ipm	16	15	0.87	0.60	0.0e+00	3.5	1:ceil,4:floor,5:ceil,6:ceil,8:ceil,11:ceil	76.4	1397
e11	hsd	14	11	0.82	0.91	0.0e+00	3.5	1:ceil,2:ceil,3:ceil,4:ceil,8:ceil,11:floor,11:ceil	88.3	1172
e12	ipm	14	14	0.71	0.36	0.0e+00	3.5	1:ceil,2:ceil,3:ceil,4:ceil,5:ceil,8:ceil,10:ceil,11:ceil,13:ceil,14:floor,14:ceil	146.9	1563
e12	hsd	13	12	0.58	1.00	0.0e+00	3.5	3:ceil,4:ceil,7:ceil,8:ceil,10:ceil,12:floor,12:ceil	136.3	1175
e14	ipm	9	9	0.89	0.22	0.0e+00	3.5	1:ceil,2:ceil,3:ceil,4:ceil,5:ceil,6:ceil,7:ceil,8:ceil,9:floor,9:ceil	57.1	949
e14	hsd	7	6	0.50	0.83	0.0e+00	3.5	1:floor,1:ceil,3:ceil,4:ceil,5:ceil,6:floor,6:ceil	62.8	684
e15	ipm	7	7	0.43	0.00	0.0e+00	3.5	3:ceil,4:ceil,5:ceil,6:ceil,7:ceil	67.7	1022
e15	hsd	7	7	1.00	0.57	0.0e+00	3.5	2:ceil,3:ceil,4:ceil,5:ceil,6:ceil,7:ceil	69.1	635
