fp,gp,y0p,fc,gc,y0c
340.11549973736737,-51.217480789728597,0,348.04501503409625,-51.217480789728597,3409480.0610152641
-406.78198919066676,-54.115233051348696,0,-422.51050480555222,-54.115233051348696,2676468.6599517516
-200.99110177263904,19.209730182302678,0,-164.40021747139127,19.209730182302678,-11930901.428820314
-258.57310394112983,-58.154310346343891,0,-202.59880357251151,-58.154310346343891,21201713.337138414
-476.82266265918076,41.23803175482783,0,-547.13855072126842,41.23803175482783,-13513301.795631349
-2649.5683166246595,-34.687509569722806,0,-2932.9135647074149,-34.687509569722806,11577023.200254075
10.660323538474122,-51.906413492565662,0,18.671080411123654,-51.906413492565662,-18278908.434737671
399.78054331639561,40.731175942430127,0,406.32632078651841,40.731175942430127,21542917.018066559
-86.425872772587127,-51.40016694888709,0,-88.720444929824779,-51.40016694888709,-3396602.1608827822
168.3976483886766,-54.976078164110731,0,185.86027939365195,-54.976078164110731,-2634971.3249942395
-434.592907900981,19.11228446844882,0,-418.41002898567325,19.11228446844882,11991732.034788178
-930.29619425962017,-57.28063602332918,0,-1052.4131260893919,-57.28063602332918,-21522439.065946523
0.56027033685506922,41.539789663194711,0,43.664812380860667,41.539789663194711,13413910.89568205
-96.098960061365005,-34.08471051647075,0,-91.938518191604089,-34.08471051647075,-11781837.469587799
-939.66131772612619,-51.277626211673578,0,-905.03180915498967,-51.277626211673578,18504003.832276937
-118.90837001796245,40.089672853965112,0,-94.212460329298182,40.089672853965112,-21888860.104721673
-209.12570650808448,,,-209.12570650808448,,
208.76716038960876,,,208.76716038960876,,
-209.10915879036475,,,-209.10915879036475,,
209.08245521957724,,,209.08245521957724,,
