fp,gp,y0p,fc,gc,y0c,fw,gw,y0w
-0.00046696367481524414,-1.6653345369377348e-15,0,-0.00039518669110163605,-1.6653345369377348e-15,-7.3923225937818355e-11,0.034969292845674571,0,7.4235394756387663e-05
-0.00027005582311543335,1.3159612288760059e-14,0,-0.00022828742204953671,1.3159612288760059e-14,7.3602451119972574e-10,-0.0091346273260941094,0,-0.036455104505928482
0.00043950775237071977,-9.8152388994243722e-14,0,0.00037245308116757089,-9.8152388994243722e-14,-7.6000582201774834e-09,-0.010048953894745668,0,0.0017398986765940908
0.00062950841801950202,-6.7723604502134549e-15,0,0.00053264493620409209,-6.7723604502134549e-15,-9.763465578033944e-10,0.040706825886686455,0,-0.0070223522755755831
7.5352194093635227e-05,1.1389500453873325e-13,0,6.2575232420420342e-05,1.1389500453873325e-13,1.0493413312653155e-08,0.0012247089391261641,0,0.00021515855034014061
0,7.9213025028224138e-13,0,0,7.9213025028224138e-13,6.8767610214331482e-08,0,0,0.0013565714130242448
0,-1.4899192990469601e-13,0,0,-1.4899192990469601e-13,-1.6087979288444859e-08,0,0,-0.0047455823156027045
0,-8.6594620363200647e-13,0,0,-8.6594620363200647e-13,-7.989941209561454e-08,0,0,0.024141626026234649
0,-1.8604562335156061e-13,0,0,-1.8604562335156061e-13,-1.5438618382829819e-08,0,0,-0.00081707285309000214
0,2.6645352591003757e-15,0,0,2.6645352591003757e-15,5.4228513684547431e-10,0,0,-0.0039606341927650272
-7.8092647891309826e-05,-2.3592239273284576e-15,0,-6.5938225272114024e-05,-2.3592239273284576e-15,-1.5336586529671376e-09,0.013931804701434472,0,-0.024269230515072421
0.00017972650544047222,-5.9445504074773226e-13,0,0.00015214071464151349,-5.9445504074773226e-13,-1.3336675868330532e-07,0.015786099280296173,0,0.0016879578274362937
0.00025742988237217683,1.5382140006181544e-12,0,0.00021757741250381742,1.5382140006181544e-12,2.5554908963374768e-07,-0.0044121224778097511,0,-0.0055662491578372664
3.0819169210606848e-05,-2.1917606618515606e-11,0,2.556039365838753e-05,-2.1917606618515606e-11,-3.1167347891855574e-06,0.0075796006932448068,0,0.010833187212493905
0,8.5340762234764611e-12,0,0,8.5340762234764611e-12,1.9407115342704144e-06,0,0,2.9809106108672615e-05
0,-4.4164671919588727e-13,0,0,-4.4164671919588727e-13,-2.6711583459961215e-08,0,0,-0.00049117202705049401
0,-7.5946887667655005e-13,0,0,-7.5946887667655005e-13,-5.8164372305617061e-08,0,0,0.0024105732895940172
0,2.9547891911008151e-11,0,0,2.9547891911008151e-11,2.6590879719224733e-06,0,0,0.0033103015057472599
0,-1.1990408665951691e-14,0,0,-1.1990408665951691e-14,-1.3417961334601585e-09,0,0,0.0022962213501566838
-0.00020684103267873364,3.0691942043414855e-13,0,-0.00017550797196692463,3.0691942043414855e-13,2.1360963553383181e-08,0.017917646420755235,0,-0.019073308713863028
-0.00041896287171932166,3.596983821907429e-12,0,-0.00035496092460798266,3.596983821907429e-12,1.6904844980804321e-07,-0.017341125913145475,0,0.0033810915296219536
-5.0143702858337969e-05,,,-4.170779409540142e-05,,,-0.010957503667812443,,
0,,,0,,,0,,
0,,,0,,,0,,
0,,,0,,,0,,
0,,,0,,,0,,
0,,,0,,,0,,
-0.00042432830743212172,,,-0.00035895889054574542,,,0.013289362995853458,,
-7.1842893925229122e-05,,,-5.9656786410560565e-05,,,0.00050673768369300265,,
0,,,0,,,0,,
0,,,0,,,0,,
0,,,0,,,0,,
0,,,0,,,0,,
0,,,0,,,0,,
-6.1022717175321415e-06,,,-4.9677523498098947e-06,,,0.024140169069604908,,
0,,,0,,,0,,
0,,,0,,,0,,
0,,,0,,,0,,
0,,,0,,,0,,
0,,,0,,,0,,
-0.00019589875840921199,,,-0.00017044263000100829,,,0.12717127377366455,,
-0.00011328771914316197,,,-9.84394812302206e-05,,,-0.12125866457993476,,
0.00018438337782234544,,,0.00016054250229995752,,,0.0049956400784992227,,
0.00026408405978996995,,,0.00022970520942824403,,,0.059597278072852637,,
3.1604444607610064e-05,,,2.6965587540431235e-05,,,-0.033952299495212078,,
-3.2760290085631336e-05,,,-2.8429330721203575e-05,,,0.065351862374769323,,
7.5398053372852049e-05,,,6.5563944884611494e-05,,,-0.030830693253541066,,
0.0001079938032129303,,,9.3813157449110788e-05,,,-0.014478329708356427,,
1.2928516923792861e-05,,,1.1016171574773846e-05,,,0.027597407741093434,,
-8.677561350896414e-05,,,-7.5610535259598461e-05,,,0.051581686281861744,,
-0.00017575734582260042,,,-0.00015298989074643136,,,-0.062830563585300273,,
-2.1032301744897716e-05,,,-1.7960697270545479e-05,,,0.0036494801282011017,,
-0.00017801088229171547,,,-0.00015479480096530104,,,0.064399983545351758,,
-3.0127552299325873e-05,,,-2.5697099074733858e-05,,,-0.064897713710058327,,
-2.5634806419512769e-06,,,-2.1428547180714804e-06,,,0.073523246132940187,,
-2.2695816843238294e-09,,,-1.6268322653622391e-09,,,0.27178943923796284,,
-9.7772003620112711e-10,,,-5.4444043946036322e-10,,,0.1177671036591566,,
2.965302192717337e-10,,,1.9201002541477778e-10,,,-0.17659414765655312,,
-1.811733449625603e-10,,,-1.8268976514201179e-10,,,-0.14724278275966488,,
-7.6039747510622178e-10,,,-7.8224721421114862e-10,,,-0.057920952284148432,,
0,,,0,,,0,,
0,,,0,,,0,,
0,,,0,,,0,,
0,,,0,,,0,,
0,,,0,,,0,,
-1.2894361903641038e-09,,,-1.0564420858766679e-09,,,0.073459259956077841,,
-4.742057705027723e-10,,,-2.7671201169041583e-10,,,-0.014737839550254147,,
-3.34225976748752e-10,,,-4.0227378848767145e-10,,,-0.11725754997035077,,
-9.5548096419692586e-10,,,-9.6828819229182215e-10,,,-0.064158692169514087,,
0,,,0,,,0,,
0,,,0,,,0,,
0,,,0,,,0,,
0,,,0,,,0,,
0,,,0,,,0,,
-1.6169894624647419e-09,,,-1.3171699113413928e-09,,,0.11541657055252952,,
-1.2739993197893787e-09,,,-9.8466801513033432e-10,,,0.068346251039896666,,
-1.3252603452890492e-09,,,-1.3612697305172185e-09,,,-0.068974571381471075,,
0,,,0,,,0,,
0,,,0,,,0,,
0,,,0,,,0,,
0,,,0,,,0,,
0,,,0,,,0,,
-2.382040632285131e-09,,,-2.0850062861297057e-09,,,0.14955779212861123,,
-3.4552858114184714e-09,,,-3.4436261747036341e-09,,,0.046006798677764423,,
0,,,0,,,0,,
0,,,0,,,0,,
0,,,0,,,0,,
0,,,0,,,0,,
0,,,0,,,0,,
-4.3625501091653734e-09,,,-4.2450251758091707e-09,,,0.12630297447314887,,
0,,,0,,,0,,
0,,,0,,,0,,
0,,,0,,,0,,
0,,,0,,,0,,
0,,,0,,,0,,
-2.578005540954094e-09,,,-1.8566777683776327e-09,,,0.26351779391913216,,
1.3975761573713876e-09,,,8.3111503844673643e-10,,,-0.10606923066612632,,
1.2764505461270314e-10,,,1.0527563342527031e-10,,,-0.13277193286006134,,
1.1823937920105892e-10,,,1.4429942054757465e-10,,,0.04790048017365104,,
-9.6895221822002707e-10,,,-1.0456689939310181e-09,,,-0.02299949306586898,,
-1.5032418164824752e-09,,,-1.1989039520676518e-09,,,0.084816929921268894,,
6.3800823766107555e-10,,,3.6422706842706702e-10,,,-0.029084375246237641,,
-5.1608533124260458e-10,,,-5.5593353667959457e-10,,,-0.077885712962965162,,
1.1848248592218079e-09,,,1.2652092507844952e-09,,,0.029237232951234642,,
-1.8556523516230332e-09,,,-1.5091386934491365e-09,,,0.1236273482042016,,
1.7200952411187431e-09,,,1.3725848745890328e-09,,,-0.047747622468654043,,
-1.8146769842456563e-09,,,-1.946552552441022e-09,,,-0.036896833510008969,,
-2.8057497134054768e-09,,,-2.5174928124470526e-09,,,0.15261086281862485,,
4.1879298828791637e-09,,,4.2742928794865906e-09,,,-0.075240815202409161,,
-5.0560694901955123e-09,,,-5.047209587722036e-09,,,0.12002943381408107,,
-0.00016272653058688473,,,0.0003865908218359512,,,0.088659947963399294,,
4.5980523784380523e-05,,,-0.00010668514724843557,,,0.090608336372041673,,
0.00021065368871882163,,,-0.0005035802247696327,,,0.015704227800450207,,
-0.00012874128740244842,,,0.00030110588147578795,,,-0.046725389318623266,,
-0.00015736730475143169,,,0.00038294963932330995,,,-0.052833696626382924,,
0,,,0,,,0,,
0,,,0,,,0,,
0,,,0,,,0,,
0,,,0,,,0,,
0,,,0,,,0,,
-6.8861416976074539e-06,,,1.4244323967477683e-05,,,0.04988225696719796,,
-4.1380290512051603e-05,,,9.9136731674590267e-05,,,0.021941473526709204,,
2.6643123433216002e-05,,,-5.7631882672389258e-05,,,-0.018564734412966362,,
2.92992354443385e-05,,,-7.7351576586488676e-05,,,-0.029209112372520794,,
0,,,0,,,0,,
0,,,0,,,0,,
0,,,0,,,0,,
0,,,0,,,0,,
0,,,0,,,0,,
-0.00013700107678255063,,,0.00032718775543732397,,,0.025650441401865554,,
0.00011666009909107288,,,-0.000278800282852663,,,0.039457750472811672,,
0.00014681849814815646,,,-0.00034933879218854321,,,0.021238557851791431,,
0,,,0,,,0,,
0,,,0,,,0,,
0,,,0,,,0,,
0,,,0,,,0,,
0,,,0,,,0,,
-5.2024251501686348e-05,,,0.0001159233081253049,,,0.053795619275825837,,
-8.4474740734802886e-05,,,0.00021526993910909279,,,0.058176925509591283,,
0,,,0,,,0,,
0,,,0,,,0,,
0,,,0,,,0,,
0,,,0,,,0,,
0,,,0,,,0,,
-8.2013132195977027e-05,,,0.00018242536348869141,,,0.041076882341941783,,
0,,,0,,,0,,
0,,,0,,,0,,
0,,,0,,,0,,
0,,,0,,,0,,
0,,,0,,,0,,
-0.00024620246695846918,,,-0.0001176129059108987,,,0.023093961617723344,,
7.2071935586551884e-05,,,3.9301304512567941e-05,,,0.0021159707483824398,,
0.0003154749630974585,,,0.000144535428818098,,,0.0032366088690280186,,
