fp,gp,y0p,fc,gc,y0c
-4,-3.3342884009357476e-11,0,-3.9989177479396956,-3.3342884009357476e-11,-6.4368708266455772e-06
-0.12597761498626203,-2.6940505382100355e-11,0,-0.1259430204346598,-2.6940505382100355e-11,-6.4416007786883112e-06
2.3872929317579792,-2.6673774300434161e-11,0,2.3866437883906273,-2.6673774300434161e-11,-6.447407351154633e-06
-4,-2.6540547537479142e-11,0,-4.0016318855901147,-2.6540547537479142e-11,-6.4660477133690685e-06
-0.00028087500657358346,-2.6672553055107073e-11,0,-0.00028097100040967628,-2.6672553055107073e-11,-6.569857825106119e-06
0.31187344053404714,-2.6726953983313706e-11,0,0.31199379494027418,-2.6726953983313706e-11,-6.6627244622235131e-06
1.0663128366394936e-16,-2.6714852552345292e-11,0,1.0663128366394936e-16,-2.6714852552345292e-11,-6.7501748643678737e-06
-4,-2.6650681661521958e-11,0,-4.0016413903726988,-2.6650681661521958e-11,-6.8484047867347026e-06
-0.00028178862991591223,-2.6549540343978606e-11,0,-0.00028188561611490882,-2.6549540343978606e-11,-6.9399478686975628e-06
0.3122112271653239,-2.6424751276010738e-11,0,0.3123324575048731,-2.6424751276010738e-11,-7.0141485079895541e-06
1.454999315475547e-16,-2.6292634736080345e-11,0,1.454999315475547e-16,-2.6292634736080345e-11,-7.0785643778936512e-06
-4,-2.617239758251344e-11,0,-4.0016594449076432,-2.617239758251344e-11,-7.1558053863632747e-06
-0.00028362380652184062,-2.6085744675441447e-11,0,-0.00028372272788758151,-2.6085744675441447e-11,-7.2502526897688692e-06
0.31288753249846785,-2.6053048607366236e-11,0,0.31301044638082098,-2.6053048607366236e-11,-7.3706329915862223e-06
4.657732532997727e-16,-2.6088242677246853e-11,0,4.657732532997727e-16,-2.6088242677246853e-11,-7.5168281402483126e-06
-4,-2.6196100844089187e-11,0,-4.001685033129851,-2.6196100844089187e-11,-7.6908516867013642e-06
-0.00028639650440670701,-2.6369184613628249e-11,0,-0.00028649826333344163,-2.6369184613628249e-11,-7.8885407416246709e-06
