fp,gp,y0p,fc,gc,y0c,fw,gw,y0w
-0.00062308970899966807,-1.6057874648034431e-10,0,-0.00076987713028956383,-1.6057874648034431e-10,-2.508965643750749e-06,0,0,0
-0.00060595621458442515,-3.5571477187412714e-11,0,-0.00074862952012490138,-3.5571477187412714e-11,-4.5184446028495584e-07,0,0,0
-0.0006065765069207692,-3.8530985693729924e-11,0,-0.00074939885114582144,-3.8530985693729924e-11,-4.9720805597730511e-07,0,0,0
-0.00060760658986947467,-4.406633131309734e-11,0,-0.00075067629102740403,-4.406633131309734e-11,-5.818685073696872e-07,0,0,0
-0.00060863770105074814,1.8286014542845397e-10,0,-0.00075195501913453012,1.8286014542845397e-10,3.1205226597164071e-06,0,0,0
-0.00060937997299214102,-1.9088930176131003e-10,0,-0.00075287595062971185,-1.9088930176131003e-10,-2.9952873232923227e-06,0,0,0
-0.00060241955405709554,-3.1581206833691811e-11,0,-0.00074424980375728468,-3.1581206833691811e-11,-3.9430953294172788e-07,0,0,0
-0.00040079646542726523,-3.7645746762959842e-11,0,-0.00049416371507643637,-3.7645746762959842e-11,-4.871558972191492e-07,0,0,0
-0.00039883800869099876,-4.4643954765638538e-11,0,-0.00049173883629583524,-4.4643954765638538e-11,-5.9400887420651971e-07,0,0,0
-0.00039950342313202237,1.8463285414438424e-10,0,-0.00049256384795075378,1.8463285414438424e-10,3.1116630582958549e-06,0,0,0
-0.00040037374599070691,-2.0658660719596877e-10,0,-0.00049364245269055808,-2.0658660719596877e-10,-3.225537551897889e-06,0,0,0
-0.00040544697658504038,-2.752484785234488e-11,0,-0.00049992807512041788,-2.752484785234488e-11,-3.3983798847919688e-07,0,0,0
-0.00068939885044426755,-3.5253086907993669e-11,0,-0.00085210192052646763,-3.5253086907993669e-11,-4.5794379573138588e-07,0,0,0
-0.00066485686576277301,-4.3247909593813194e-11,0,-0.00082167072722398203,-4.3247909593813194e-11,-5.7976640632437237e-07,0,0,0
-0.00066514660383269471,2.2626007924880787e-10,0,-0.00082202999437753642,2.2626007924880787e-10,3.722004000578788e-06,0,0,0
-0.00066623700811985177,-2.3433565331243411e-10,0,-0.00082338210698760519,-2.3433565331243411e-10,-3.6423728269618927e-06,0,0,0
-0.00066734907679082969,-2.2333482285752382e-11,0,-0.00082476108040454113,-2.2333482285752382e-11,-2.7176512559443089e-07,0,0,0
-0.0006681872447506285,-3.1095885415222124e-11,0,-0.00082580062202666229,-3.1095885415222124e-11,-4.0541231613108741e-07,0,0,0
-0.00066138750172028992,-4.0064958295449316e-11,0,-0.00081737126411074771,-4.0064958295449316e-11,-5.4184291602143997e-07,0,0,0
-0.00044272887296140003,2.7742946611883368e-10,0,-0.00054615177938358223,2.7742946611883368e-10,4.4676422327263876e-06,0,0,0
-0.00043959101986225217,-2.6632414416166705e-10,0,-0.00054226462615401881,-2.6632414416166705e-10,-4.1222435339348384e-06,0,0,0
-0.00044026514456911174,-1.5087553602299852e-11,0,-0.00054310071453916875,-1.5087553602299852e-11,-1.762335459856712e-07,0,0,0
-0.00044119330653898326,-2.4903984256752221e-11,0,-0.00054425132543459381,-2.4903984256752221e-11,-3.2571769717146259e-07,0,0,0
-0.00044629258130273662,-3.4939880416001712e-11,0,-0.0005505716662278611,-3.4939880416001712e-11,-4.7822770916916557e-07,0,0,0
-0.00077445441611537289,3.3827592463286926e-10,0,-0.00095755249270251992,3.3827592463286926e-10,5.3495006558171299e-06,0,0,0
-0.00074728251830470768,-3.0202027684333999e-10,0,-0.00092386827328184767,-3.0202027684333999e-10,-4.6563220423498364e-06,0,0,0
-0.00074748398547889701,-5.6175663079582883e-12,0,-0.00092411781392941997,-5.6175663079582883e-12,-5.0587090939802071e-08,0,0,0
-0.0007486696719065278,-1.660923048402152e-11,0,-0.0009255877455176633,-1.660923048402152e-11,-2.1786153393474339e-07,0,0,0
-0.00074988647675014843,-2.7996139261021735e-11,0,-0.00092709625286939911,-2.7996139261021735e-11,-3.9145228725168124e-07,0,0,0
